Feature,Importance Mean,Importance Std
museum_count_500m,0.11798342313309602,0.0073337080698224755
cinema_count_500m,0.1047552401630409,0.007846735006057731
bus_stop_count_500m,0.0905666022446597,0.004602925121708963
parking_space_count_500m,0.07178651119356112,0.011715664038090478
bank_count_500m,0.06164041512944549,0.007946970421947747
college_count_500m,0.060207081031871536,0.0077251336529295025
office_count_500m,0.05337045189572648,0.008462610930274617
temple_count_500m,0.04623747041600795,0.00509990677582609
clinic_count_500m,0.045243442238291534,0.006895875133033139
hospital_count_500m,0.03275418696753999,0.004514793941834861
retail_count_500m,0.023183321463608898,0.0038270146159713574
school_count_500m,0.02088674789309931,0.0027202930013462273
recreation_count_500m,0.016884796366716227,0.004208027010628769
competitor_count_500m,0.006492359002010295,0.0020263230744596065
search_area,0.004458378344559755,0.002135503075444261
nearest_restaurant_m,0.003915409662425051,0.0025664179619597073
avg_restaurant_rating_500m,0.002625636711628787,0.0019627127003471008
avg_review_ratings_500m,-0.0002908575445634609,0.000592100711117105
