feature,criterion_type,entropy,divergence,weight
cultural_activity_score,Benefit,0.942177696106747,0.057822303893253046,0.20318356845332847
attraction_score,Benefit,0.9538487805283811,0.04615121947161893,0.16217218667086766
accessibility_score,Benefit,0.9538830762606458,0.046116923739354165,0.16205167384458632
market_gap_score,Benefit,0.9541861810360744,0.04581381896392556,0.16098658467068339
health_activity_score,Benefit,0.9673917029843944,0.032608297015605636,0.11458329576504236
education_score,Benefit,0.9716534885680806,0.028346511431919352,0.09960767659090963
commercial_score,Benefit,0.9736513227509597,0.02634867724904033,0.0925874257339948
competition_pressure_score,Cost,0.9986261572322098,0.0013738427677901788,0.004827588270587357
