bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label,office_count_500m_normalized,retail_count_500m_normalized,bank_count_500m_normalized,commercial_score,bus_stop_count_500m_normalized,parking_space_count_500m_normalized,accessibility_score,college_count_500m_normalized,school_count_500m_normalized,education_score,hospital_count_500m_normalized,clinic_count_500m_normalized,health_activity_score,recreation_count_500m_normalized,cinema_count_500m_normalized,museum_count_500m_normalized,attraction_score,temple_count_500m_normalized,cultural_activity_score,nearest_restaurant_m_normalized,market_gap_score,competitor_count_500m_normalized,avg_restaurant_rating_500m_normalized,avg_review_ratings_500m_normalized,competition_pressure_score,commercial_score_contribution,accessibility_score_contribution,education_score_contribution,health_activity_score_contribution,attraction_score_contribution,cultural_activity_score_contribution,market_gap_score_contribution,competition_pressure_score_contribution,feasibility_score,cluster,feasibility_label
26,1,0,44,22,9,1,54,5,21,52,35,15,20,4.265000000000001,87.7,66.35792047348987,ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,Baneshwor,restaurant,restaurant,1,0.5242718446601942,0.3291139240506329,0.2736842105263158,0.3756899930790476,0.09090909090909091,0.21739130434782608,0.1541501976284585,0.34375,0.5833333333333334,0.4635416666666667,0.2903225806451613,0.5789473684210527,0.43463497453310695,0.2727272727272727,0.0,0.027777777777777776,0.10016835016835017,0.14423076923076922,0.14423076923076922,0.015377429777559362,0.015377429777559362,0.8373983739837398,0.18374999999999986,0.9410204081632653,0.6540562607156684,0.03478416933321134,0.02498029754916548,0.046172308419744575,0.04980190783675865,0.016244520382014523,0.029305322373076217,0.0024755599009025483,0.003157514332535187,20.69216001274085,2,Moderate
43,4,1,46,37,13,1,66,6,16,80,40,13,44,4.247727272727273,159.47727272727272,3.883478478190665,ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,Baneshwor,restaurant,restaurant,1,0.6407766990291263,0.5063291139240507,0.45263157894736844,0.5332457973001818,0.36363636363636365,0.2608695652173913,0.31225296442687744,0.578125,0.6666666666666666,0.6223958333333333,0.41935483870967744,0.6052631578947368,0.5123089983022071,0.2077922077922078,0.14285714285714285,0.027777777777777776,0.12614237614237614,0.125,0.125,0.0008999365435946336,0.0008999365435946336,0.6422764227642277,0.18806818181818175,0.8921923314780458,0.5741789786868184,0.04937185565549543,0.05060111554830956,0.061995402878196354,0.058702053475554385,0.020456784970868228,0.02539794605666606,0.00014487771057363963,0.002771899702726313,26.944193599838997,0,High
57,6,3,65,49,12,1,68,9,15,66,28,6,48,4.23125,201.10416666666663,35.02215743259268,ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,Baneshwor,restaurant,restaurant,1,0.6601941747572816,0.4177215189873418,0.6,0.5593052312482079,0.5454545454545454,0.391304347826087,0.46837944664031617,0.765625,0.4666666666666667,0.6161458333333334,0.3870967741935484,0.8552631578947368,0.6211799660441426,0.19480519480519481,0.42857142857142855,0.027777777777777776,0.21705146705146705,0.057692307692307696,0.057692307692307696,0.008115847554226398,0.008115847554226398,0.6097560975609756,0.19218749999999996,0.8638747165532881,0.5552727713714213,0.05178463156082823,0.07590167332246434,0.06137285489950318,0.07117684777255497,0.0351997110318562,0.01172212894923049,0.0013065425794628266,0.0026806283180492085,31.114501843394944,0,High
5,0,0,23,6,4,0,66,4,26,78,16,17,14,4.371428571428572,83.21428571428571,5.217717490207539,ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,Baneshwor,restaurant,restaurant,1,0.6407766990291263,0.4936708860759494,0.05263157894736842,0.395693054684148,0.0,0.17391304347826086,0.08695652173913043,0.09375,0.26666666666666666,0.18020833333333333,0.12903225806451613,0.3026315789473684,0.21583191850594227,0.33766233766233766,0.0,0.0,0.11255411255411256,0.16346153846153846,0.16346153846153846,0.0012091259601310711,0.0012091259601310711,0.8861788617886179,0.15714285714285703,0.9440719144800777,0.6624645444705175,0.0366362013140261,0.014091449899529245,0.017950133385653506,0.024730732553702905,0.018253146551699392,0.033212698689486383,0.00019465305875816203,0.003198106064565867,14.826712151742152,2,Moderate
55,6,3,66,46,11,1,65,10,15,64,27,7,47,4.270212765957447,200.89361702127653,35.02215743259268,ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,Baneshwor,restaurant,restaurant,1,0.6310679611650486,0.4050632911392405,0.5789473684210527,0.5383595402417806,0.5454545454545454,0.43478260869565216,0.49011857707509876,0.71875,0.45,0.584375,0.3548387096774194,0.868421052631579,0.6116298811544991,0.19480519480519481,0.42857142857142855,0.027777777777777776,0.21705146705146705,0.0673076923076923,0.0673076923076923,0.008115847554226398,0.008115847554226398,0.6178861788617886,0.18244680851063833,0.8640179476045738,0.5547836449923337,0.04984532395032344,0.07942453579734665,0.058208236007812816,0.07008256757106368,0.0351997110318562,0.013675817107435569,0.0013065425794628266,0.0026782670172786904,31.04210010625799,0,High
51,6,2,60,44,15,1,76,11,14,91,27,9,40,4.2675,181.45,8.056989879533248,ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,Baneshwor,barbecue_restaurant,restaurant,1,0.7378640776699029,0.5759493670886076,0.5368421052631579,0.6168851833405561,0.5454545454545454,0.4782608695652174,0.5118577075098814,0.6875,0.45,0.56875,0.4838709677419355,0.7894736842105263,0.6366723259762309,0.18181818181818182,0.2857142857142857,0.027777777777777776,0.1651034151034151,0.08653846153846154,0.08653846153846154,0.001867083766443911,0.001867083766443911,0.6747967479674797,0.18312499999999998,0.8772448979591836,0.5783888819755544,0.0571158110989455,0.08294739827222895,0.05665186606107985,0.07295201343275193,0.02677518185414879,0.017583193423845733,0.0003005754388538811,0.0027922233824633214,31.711826296431795,0,High
20,2,0,31,24,4,1,72,10,13,67,21,10,22,4.477272727272728,41.95454545454545,11.652110409892927,ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,Baneshwor,restaurant,restaurant,1,0.6990291262135923,0.4240506329113924,0.21052631578947367,0.44453535830481944,0.18181818181818182,0.43478260869565216,0.308300395256917,0.375,0.35,0.3625,0.12903225806451613,0.40789473684210525,0.26846349745331066,0.16883116883116883,0.0,0.027777777777777776,0.06553631553631555,0.09615384615384616,0.09615384615384616,0.0027001977806112762,0.0027001977806112762,0.8211382113821138,0.1306818181818179,0.9721397649969078,0.6413199315202799,0.041158384473182236,0.04996059509833096,0.03610778276420474,0.030761432330810395,0.010628167596876249,0.019536881582050816,0.0004346956186359686,0.0030960285791011904,19.168396804319247,2,Moderate
21,5,0,41,37,20,0,81,6,21,104,18,13,27,4.330769230769231,46.34615384615385,29.7023843691526,ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,Baneshwor,restaurant,restaurant,1,0.7864077669902912,0.6582278481012658,0.22105263157894736,0.5552294155568348,0.45454545454545453,0.2608695652173913,0.3577075098814229,0.578125,0.3,0.4390625,0.6451612903225806,0.5394736842105263,0.5923174872665535,0.2727272727272727,0.0,0.0,0.0909090909090909,0.125,0.125,0.0068830717810874145,0.0068830717810874145,0.7804878048780488,0.16730769230769216,0.9691522762951335,0.6389825911602914,0.05140726227819778,0.057967100723063485,0.04373399550319626,0.06786968983027022,0.014742926060987968,0.02539794605666606,0.0011080822180804205,0.0030847448621949395,26.531174753265713,0,High
12,2,1,14,11,5,2,46,8,14,55,18,8,12,4.491666666666666,19.5,93.54178884698324,ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,Baneshwor,restaurant,restaurant,1,0.44660194174757284,0.34810126582278483,0.12631578947368421,0.30700633234801394,0.18181818181818182,0.34782608695652173,0.2648221343873518,0.171875,0.3,0.2359375,0.16129032258064516,0.18421052631578946,0.1727504244482173,0.18181818181818182,0.14285714285714285,0.05555555555555555,0.12674362674362674,0.07692307692307693,0.07692307692307693,0.02167687412441484,0.02167687412441484,0.9024390243902439,0.12708333333333344,0.9874149659863946,0.6723124412366573,0.028424925996137867,0.04291487014856634,0.02350118619566774,0.01979431297808669,0.02055429109561021,0.015629505265640654,0.003489685931625855,0.003245647655484039,15.75544252668194,2,Moderate
32,0,1,41,33,12,1,68,3,18,71,41,12,32,4.2548387096774185,141.83870967741936,134.34933086730928,ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,Baneshwor,restaurant,restaurant,1,0.6601941747572816,0.44936708860759494,0.3368421052631579,0.4821344562093448,0.0,0.13043478260869565,0.06521739130434782,0.515625,0.6833333333333333,0.5994791666666667,0.3870967741935484,0.5394736842105263,0.46328522920203735,0.23376623376623376,0.14285714285714285,0.027777777777777776,0.1348003848003848,0.11538461538461539,0.11538461538461539,0.031133395777516674,0.031133395777516674,0.7398373983739838,0.18629032258064537,0.9041913539609393,0.6101063583051894,0.04463958815808268,0.010568587424646935,0.05971272695632135,0.05308474844123249,0.021860873167152798,0.02344425789846098,0.005012059055423085,0.0029453422991649,22.12681834004852,2,Moderate
